,index,file_path,date,place,agenda,notes,resources,attended,content
0,0,./pages/2019(2d)02(2d)21(2d)initial(2d)jersey(2d)meetup/revisions,2019-02-21,17:30 Digital Jersey Hub - Edison Room (the board room),,"<p>4 attendees.</p><p>General introductions and summary of Python experience to date.</p><p>Lack of visible Python activity compared to other cities / locations</p><p>Discussion of education - Scratch &amp; Python. Agreement that, once established, the UG should look to assist &amp; enable Python in education where possible.</p><p>Quick chat on architectural patterns and how to structure our applications.</p><p>Agreement that the UG should be kept quite informal, with presentations / speakers being exceptional events.</p>","<ul><li><a href=""https://mode.com/"">Mode.com</a></li><li><a href=""https://developers.google.com/web/tools/lighthouse/"">Google Lighthouse</a></li><li><a href=""https://wiki.qt.io/Qt<em>for</em>Python"">Pyside 2.0</a></li><li><a href=""https://www.edx.org/course/cs50s-introduction-computer-science-harvardx-cs50x"">Harvard CS50</a></li><li><a href=""http://pythontutor.com/"">Pythontutor.com</a></li><li><a href=""https://codingbat.com/python"">Codingbat.com</a></li><li>Redis</li><li>Dynamo DB</li></ul>",4,"= 2019-02-21 Initial Jersey Meetup =

17:30 Digital Jersey Hub - Edison Room (the board room)

== Notes ==

4 attendees.

General introductions and summary of Python experience to date.

Lack of visible Python activity compared to other cities / locations

Discussion of education - Scratch & Python. Agreement that, once established, the UG should look to assist & enable Python in education where possible.

Quick chat on architectural patterns and how to structure our applications.

Agreement that the UG should be kept quite informal, with presentations / speakers being exceptional events.

== Resources ==

 * [[https://mode.com/|Mode.com]]
 * [[https://developers.google.com/web/tools/lighthouse/|Google Lighthouse]]
 * [[https://wiki.qt.io/Qt_for_Python|Pyside 2.0]]
 * [[https://www.edx.org/course/cs50s-introduction-computer-science-harvardx-cs50x|Harvard CS50]]
 * [[http://pythontutor.com/|Pythontutor.com]]
 * [[https://codingbat.com/python|Codingbat.com]]
 * Redis
 * Dynamo DB

Next meetup - TBD
"
1,1,./pages/2019(2d)03(2d)26(2d)march(2d)jersey(2d)meetup/revisions,2019-03-23,17:30 Digital Jersey Hub,,"<p>3 attendees</p><p>Follow up on some of the items discussed previous month.</p><p>Discussion of upcoming (now past) Neural Networks course at DJX which a couple of attendees were going to.</p><p>Brief chat about using file based storage for local apps &amp; serialisation options.</p><p>PIPEnv, Pycharm and how we work with environments (and why)</p>","<ul><li><a href=""https://github.com/Mckinsey666/bullet</a></li><li><a href=""https://aws.amazon.com/textract/"">AWS Textstract</a></li><li><a href=""https://github.com/pipxproject/pipx"">PIPX</a></li></ul>",3,"= 2019-03-23 March Jersey Meetup =

17:30 Digital Jersey Hub

== Notes ==

3 attendees

Follow up on some of the items discussed previous month.

Discussion of upcoming (now past) Neural Networks course at DJX which a couple of attendees were going to.

Brief chat about using file based storage for local apps & serialisation options.

PIPEnv, Pycharm and how we work with environments (and why)

== Resources ==

 * [[https://github.com/Mckinsey666/bullet]]
 * [[https://aws.amazon.com/textract/|AWS Textstract]]
 * [[https://github.com/pipxproject/pipx|PIPX]]
"
2,2,./pages/2019(2d)04(2d)24(2d)april(2d)jersey(2d)meetup/revisions,2019-04-24,"17:30 - Unit 13, Le Capelain House, Castle Quay",,<p>11 attendees! We're cooking on gas now!</p><p>Huge thanks to CIPUG founding member Phil for providing space for this month's meet up.</p><p>General intros for new attendees.</p><p>Adrian demoed his initial version of his personal financial tracking project.</p><p>Rob demoed the Adafruit Pyportal</p>,"<ul><li><a href=""https://anvil.works/"">Anvil Drag &amp; Drop Python</a></li><li><a href=""https://pypi.org/project/cooked-input/"">Cooked Input</a></li><li><a href=""https://getbootstrap.com/"">Bootstrap</a></li><li><a href=""https://getuikit.com/"">UIKit</a></li><li><a href=""https://www.polymer-project.org/"">Polymer</a></li><li><a href=""https://webflow.com/"">Webflow</a></li><li><a href=""https://blog.getpelican.com/"">Pelican Static Site Generator</a></li><li><a href=""https://www.adafruit.com/micropython"">MicroPython on Adafruit</a></li></ul>",11,"## page was renamed from 2019-04-24-march-jersey-meetup
= 2019-04-24 March Jersey Meetup =

17:30 - Unit 13, Le Capelain House, Castle Quay

== Notes ==

11 attendees! We're cooking on gas now!

Huge thanks to CIPUG founding member Phil for providing space for this month's meet up.

General intros for new attendees.

Adrian demoed his initial version of his personal financial tracking project.

Rob demoed the Adafruit Pyportal 

== Resources ==

 * [[https://anvil.works/|Anvil Drag & Drop Python]]
 * [[https://pypi.org/project/cooked-input/|Cooked Input]]
 * [[https://getbootstrap.com/|Bootstrap]]
 * [[https://getuikit.com/|UIKit]]
 * [[https://www.polymer-project.org/|Polymer]]
 * [[https://webflow.com/|Webflow]]
 * [[https://blog.getpelican.com/|Pelican Static Site Generator]]
 * [[https://www.adafruit.com/micropython|MicroPython on Adafruit]]


=== Not covered (held till next month?) ===

 * Docker
 * Neural Net Course Review
 * How to contribute to Open Source
"
3,4,./pages/2019(2d)05(2d)may(2d)jersey(2d)meetup/revisions,2019-05-23,"17:30 - Unit 13, Le Capelain House, Castle Quay [[https://www.google.com/maps/@49.1824762,-2.1155164,20z|Map]]",,<p>8 attendees</p><p>Again thanks to CIPUG founding member Phil for providing space for this month's meet up.</p><p>General intros for new attendees.</p><p>The [[codeofconduct|Code of Conduct]] was circulated for review. RFC closes June 15th.</p><p>Discussion of [[https://www.digital.je/news-events/digital-events/brain-tangle-neural-nets-for-newbies/|Digital Jersey Neural Networks course]]</p><p>Rob demoed AWS Lambda &amp; API Gateway</p><p>Dave demoed using cron to call Python scripts</p><p>General chit chat</p>,"<ul><li><a href=""https://docs.aws.amazon.com/lambda/index.html"">AWS Lambda</a></li><li><a href=""https://docs.aws.amazon.com/lambda/latest/dg/with-on-demand-https.html"">AWS API Gateway Tutorial</a></li><li><a href=""https://dwe.dev/automate-your-python-scripts.html"">Automate your Python Scripts with Cron</a></li><li><a href=""https://crontab.guru/"">Crontab Guru</a></li><li><a href=""https://rcwd.dev/long-lived-python-scripts-with-supervisor.html"">Long lived Python scripts with Supervisor</a></li></ul>",8,"= 2019-05-23 March Jersey Meetup =

17:30 - Unit 13, Le Capelain House, Castle Quay [[https://www.google.com/maps/@49.1824762,-2.1155164,20z|Map]]

== Notes ==

8 attendees

Again thanks to CIPUG founding member Phil for providing space for this month's meet up.

General intros for new attendees.

The [[codeofconduct|Code of Conduct]] was circulated for review. RFC closes June 15th.

Discussion of [[https://www.digital.je/news-events/digital-events/brain-tangle-neural-nets-for-newbies/|Digital Jersey Neural Networks course]]

Rob demoed AWS Lambda & API Gateway

Dave demoed using cron to call Python scripts

General chit chat

== Resources ==

 * [[https://docs.aws.amazon.com/lambda/index.html|AWS Lambda]]
 * [[https://docs.aws.amazon.com/lambda/latest/dg/with-on-demand-https.html|AWS API Gateway Tutorial]]
 * [[https://dwe.dev/automate-your-python-scripts.html|Automate your Python Scripts with Cron]]
 * [[https://crontab.guru/|Crontab Guru]]
 * [[https://rcwd.dev/long-lived-python-scripts-with-supervisor.html|Long lived Python scripts with Supervisor]]
"
4,5,./pages/2019(2d)06(2d)june(2d)jersey(2d)meetup/revisions,2019-06-26,"17:30 - Unit 13, Le Capelain House, Castle Quay [[https://www.google.com/maps/@49.1824762,-2.1155164,20z|Map]]",,"<p>4 attendees</p><p>Again thanks to CIPUG founding member Phil for providing space for this month's meet up.</p><p>Mark did an Anvil demo after researching the framework and speaking with the developers:</p><p><ol><li>It does take time to build web applications and do front end development in Python</p><p><ul><li></li><li>Flask and Django great but both have learning curves and pros and cons</ul></p><p><ul><li></li><li>Use Anvil to both prototype and also production applications</ul></p><p><ul><li></li><li>Community already has built templates using libraries such as Plotly for data representation</ul></p><p><ul><li></li><li>Drag and drop to wireframe then get under the hood with the code to customise and functionalise the application</ul></p><p><ul><li></li><li>Free version has some good functionality but some limitations such as Python 2.</ul></p><p><ul><li></li><li>Well worth having this in your skill repertoire to get applications up and running quickly</ul></p><p><ul><li></li></ol>Phil did a demo of a classic car data project which generated discussion on the various elements throughout the demo and covered:</ul></p><p><ul><li>Beautiful soup - for web scraping.</ul></p><p><ul><li></li><li>Safari developer tools to inspect page elements and discover APIs</ul></p><p><ul><li></li><li>Interrogate API with Postman</ul></p><p><ul><li></li><li>JSON structure same as a Python dictionary therefore can index through without much additional knowledge of JSON!</ul></p><p><ul><li></li><li>Used Atom as IDE for project, developed by GitHub, now owned by Microsoft, as is VS Code.</ul></p><p><ul><li></li><li>Used Pretty JSON  (Mark recommended pprint library)</ul></p><p><ul><li></li><li>DynamoDB. No sql databases. Good to store and interrogate JSON data.</ul></p><p><ul><li></li><li>AWS Boto3 is the AWS Python SDK</ul></p><p><ul><li></li><li>Bonhams classic card auction database has 38000 records since 2003!</ul></p><p><ul><li></li><li>Data cleaning -  as data fields are used for different purposes over the years therefore inconsistent and difficult to clean.</ul></p><p><ul><li></li><li>Dataquest for learning data cleansing (thanks Dave) and regular expressions. Regex 101 to test statements (thanks again Dave!).</ul></p><p><ul><li></li><li>Build and test functions in Jupyter then lift over to .py script.</ul></p><p><ul><li></li><li>Rebuilt workflow for a AWS Lambda function to check database every day.</ul></p><p><ul><li></li><li>Converting fx rates using CSV data from US Fed using request library.</ul></p><p><ul><li></li><li>String library and punctuation module.</ul></p><p><ul><li></li><li>My SQL Workbench from Oracle to see database and build SQL queries.</ul></p><p><ul><li></li><li>Exploring data with tableau (quick demo of Tableau).</ul></p><p><ul><li></li><li>Lambda functions in Aws runs the python scripts everyday.</ul></p><p><ul><li></li><li>It is in github</ul></p><p><ul><li></li><li>How to hide credentials in code in GitHub?</ul></p><p><ul><li></li><li>Discussed use cases for data and discussed reasons why perhaps Bonhams not using their own data (data consistency, cleanliness etc)?</ul></p><p><ul><li></li><li>Discussed whether there is a common language for these kinds of get requests</ul></p><p><ul><li></li><li>Quick discussion of the re library (regex)</ul></p><p><ul><li></li><li>Quick discussion on NoSQL vs SQL database</ul></p><p><ul><li></li></ul></p>","<ul><li><a href=""https://anvil.works/"">Anvil</a></li><li><a href=""https://www.getpostman.com/"">Postman</a></li><li><a href=""https://www.crummy.com/software/BeautifulSoup/"">Beautiful Soup</a></li><li><a href=""https://www.dataquest.io/"">Data Quest</a></li><li><a href=""https://docs.python.org/3/library/re.html"">Python Regular Expressions</a></li><li><a href=""https://regex101.com/"">Regex 101</a></li></ul>",4,"= 2019-06-26 June Jersey Meetup =

17:30 - Unit 13, Le Capelain House, Castle Quay [[https://www.google.com/maps/@49.1824762,-2.1155164,20z|Map]]

== Notes ==
 
4 attendees

Again thanks to CIPUG founding member Phil for providing space for this month's meet up.

Mark did an Anvil demo after researching the framework and speaking with the developers:

 1. It does take time to build web applications and do front end development in Python

 2. Flask and Django great but both have learning curves and pros and cons

 3. Use Anvil to both prototype and also production applications

 4. Community already has built templates using libraries such as Plotly for data representation

 5. Drag and drop to wireframe then get under the hood with the code to customise and functionalise the application

 6. Free version has some good functionality but some limitations such as Python 2.

 7. Well worth having this in your skill repertoire to get applications up and running quickly

Phil did a demo of a classic car data project which generated discussion on the various elements throughout the demo and covered:

 * Beautiful soup - for web scraping.

 * Safari developer tools to inspect page elements and discover APIs

 * Interrogate API with Postman

 * JSON structure same as a Python dictionary therefore can index through without much additional knowledge of JSON!

 * Used Atom as IDE for project, developed by GitHub, now owned by Microsoft, as is VS Code.

 * Used Pretty JSON  (Mark recommended pprint library)

 * DynamoDB. No sql databases. Good to store and interrogate JSON data.

 * AWS Boto3 is the AWS Python SDK

 * Bonhams classic card auction database has 38000 records since 2003!

 * Data cleaning -  as data fields are used for different purposes over the years therefore inconsistent and difficult to clean.

 * Dataquest for learning data cleansing (thanks Dave) and regular expressions. Regex 101 to test statements (thanks again Dave!).

 * Build and test functions in Jupyter then lift over to .py script.

 * Rebuilt workflow for a AWS Lambda function to check database every day.

 * Converting fx rates using CSV data from US Fed using request library.

 * String library and punctuation module.

 * My SQL Workbench from Oracle to see database and build SQL queries.

 * Exploring data with tableau (quick demo of Tableau).

 * Lambda functions in Aws runs the python scripts everyday.

 * It is in github

 * How to hide credentials in code in GitHub?

 * Discussed use cases for data and discussed reasons why perhaps Bonhams not using their own data (data consistency, cleanliness etc)?

 * Discussed whether there is a common language for these kinds of get requests

 * Quick discussion of the re library (regex)

 * Quick discussion on NoSQL vs SQL database

== Resources ==

 * [[https://anvil.works/|Anvil]]
 * [[https://www.getpostman.com/|Postman]]
 * [[https://www.crummy.com/software/BeautifulSoup/|Beautiful Soup]]
 * [[https://www.dataquest.io/|Data Quest]]
 * [[https://docs.python.org/3/library/re.html|Python Regular Expressions]]
 * [[https://regex101.com/|Regex 101]]
"
5,6,./pages/2019(2d)07(2d)july(2d)jersey(2d)meetup/revisions,2019-07-01,"17:30 - Unit 13, Le Capelain House, Castle Quay [[https://www.google.com/maps/@49.1824762,-2.1155164,20z|Map]]",,"<p><ul><li>General Intros and chat</li><li>Discussion of Anvil performance, tracing using timing functions and why having database queries in a loop is a bad idea</li><li>Discussion of SQLness vs Excelness for structuring data</li><li>Quick demo of Docker and Python (code in the link below)</li><li>Discussion of MRM originated, CIPUG project to build a CMS for use on this site and by members</li><li>Demo of Github config for the same</li><li>Closing chat re data gathering tools and the possibility of a simple, common language to describe data</li></ul></p>","<ul><li><a href=""https://blog.jupyter.org/and-voil%C3%A0-f6a2c08a4a93"">Voilà - Jupyter Notebooks Dashboard</a></li><li><a href=""https://github.com/cipug/docker-demo"">Docker demo code</a></li><li><a href=""https://github.com/cipug/literate-robot/"">CIPUG Blog Project</a></li></ul>",0,"= 2019-07 July Jersey Meetup =

17:30 - Unit 13, Le Capelain House, Castle Quay [[https://www.google.com/maps/@49.1824762,-2.1155164,20z|Map]]

4 attendees, thanks to Phil for the use of his office (despite his not even being on the island!)

== Notes ==

 * General Intros and chat
 * Discussion of Anvil performance, tracing using timing functions and why having database queries in a loop is a bad idea
 * Discussion of SQLness vs Excelness for structuring data
 * Quick demo of Docker and Python (code in the link below)
 * Discussion of MRM originated, CIPUG project to build a CMS for use on this site and by members
 * Demo of Github config for the same
 * Closing chat re data gathering tools and the possibility of a simple, common language to describe data

== Resources ==

 * [[https://blog.jupyter.org/and-voil%C3%A0-f6a2c08a4a93|Voilà - Jupyter Notebooks Dashboard]]
 * [[https://github.com/cipug/docker-demo|Docker demo code]]
 * [[https://github.com/cipug/literate-robot/|CIPUG Blog Project]]
"
6,7,./pages/2019(2d)08(2d)august(2d)jersey(2d)meetup/revisions,2019-08-29,"17:30 - Unit 13, Le Capelain House, Castle Quay [[https://www.google.com/maps/@49.1824762,-2.1155164,20z|Map]]",,<p>5 attendees</p><p>Now standard thankyous to Phil for providing space for this month's meet up.</p><p><ul><li>General hellos</li><li>DWE Kaggle competition </li><li>Literate robot</ul></p><p><ul><li>Anyone wants to get involved just shout (on Slack)</li><li>Bit of Wagtail discussion</li></ul></p><p><ul><li></li><li>Mark’s open data project</ul></p><p><ul><li>Performance issues have been resolved </li><li>CKAN </li><li>Opendata.gov.je</li></ul></p><p><ul><li></li><li>Power consumption data sets</ul></p><p><ul><li>For different industries</li><li>Has Jersey got sustainable power water supply plans?</li><li>Growth of electric cars?</li></ul></p><p><ul><li></li><li>Poetry</ul></p><p><ul><li></li><li>New package manager</ul></p><p><ul><li></li><li>Resources</ul></p><p><ul><li></li><li>Where do we find stuff?</li><li>Resource list on the site?</ul></p><p><ul><li></li><li>Data extraction</ul></p><p><ul><li>JSON and scraping </li><li>Facebook &amp; caching</li><li>The Great Hack</li></ul></p><p><ul><li></li><li>Miscellany</ul></p><p><ul><li>Digital nomads</li><li>Rhoombas that go upstairs</li><li>Killer sex dolls</li><li>AI in the media</li></ul></p><p><ul><li></li></ul></p>,"<ul><li><a href=""https://poetry.eustace.io"">Poetry Env &amp; Package Manager</a></li><li><a href=""https://www.snowflake.com/technology-partners/amazon-web-services/"">Snowflake Data Warehouse Solution</a></li><li><a href=""https://Opendata.gov.je"">Opendata.gov.je</a></li><li><a href=""https://ckan.org/"">CKAN</a></li></ul>",5,"= 2019-08-29 August Jersey Meetup =

17:30 - Unit 13, Le Capelain House, Castle Quay [[https://www.google.com/maps/@49.1824762,-2.1155164,20z|Map]]

== Notes ==

5 attendees

Now standard thankyous to Phil for providing space for this month's meet up.

 * General hellos
 * DWE Kaggle competition 
 * Literate robot 
   * Anyone wants to get involved just shout (on Slack)
   * Bit of Wagtail discussion

 * Mark’s open data project
   * Performance issues have been resolved 
   * CKAN 
   * Opendata.gov.je

 * Power consumption data sets
   * For different industries
   * Has Jersey got sustainable power water supply plans?
   * Growth of electric cars?

 * Poetry
 * New package manager

 * Resources
 * Where do we find stuff?
 * Resource list on the site?

 * Data extraction
   * JSON and scraping 
   * Facebook & caching
   * The Great Hack

 * Miscellany
   * Digital nomads
   * Rhoombas that go upstairs
   * Killer sex dolls
   * AI in the media

== Resources ==

 * [[https://poetry.eustace.io|Poetry Env & Package Manager]]
 * [[https://www.snowflake.com/technology-partners/amazon-web-services/|Snowflake Data Warehouse Solution]]
 * [[https://Opendata.gov.je|Opendata.gov.je]]
 * [[https://ckan.org/|CKAN]]
"
7,8,./pages/2019(2d)09(2d)september(2d)jersey(2d)meetup/revisions,2019-09-01,"17:30 - Unit 13, Le Capelain House, Castle Quay [[https://www.google.com/maps/@49.1824762,-2.1155164,20z|Map]]",,<p>Very informal meetup that may or may not have happened due to low numbers.</p><p></p>,<ul></ul>,0,"= 2019-09-?? September Jersey Meetup =

17:30 - Unit 13, Le Capelain House, Castle Quay [[https://www.google.com/maps/@49.1824762,-2.1155164,20z|Map]]


== Notes ==

Very informal meetup that may or may not have happened due to low numbers.
"
8,9,./pages/2019(2d)10(2d)october(2d)jersey(2d)meetup/revisions,2019-10-24,"17:30 - Unit 13, Le Capelain House, Castle Quay [[https://www.google.com/maps/@49.1824762,-2.1155164,20z|Map]]",,<p><ul><li>Environhack</li><li>Maps</li><li>GMPlot</li><li>Machine learning <ul><li>Ng</li><li>Using AI to determine sentiment/reaction to content</li></ul></p><p><ul><li></li><li>Dave does Lambda &amp; List-comprehension (with a left turn through generator Ville)</li><li>Type Hinting</li><li>Cookie Cutter</li></ul></p>,"<ul><li><a href=""https://github.com/dwedigital/cipug<em>listcomp</em>lambdas"">Dave's Guide to List Comprehension &amp; Lambdas</a></li><li><a href=""http://mypy-lang.org/"">mypy - Optional Static Type Checking for Python</a></li><li><a href=""https://github.com/mahmoud/awesome-python-applications"">Awesome Python Applications</a></li><li><a href=""http://www.dabeaz.com/generators/"">Generator Tricks for Systems Programmers, v3.0</a></li><li><a href=""https://amzn.to/2JxMuBo"">Classic Computer Science Problems in Python</a></li><li><a href=""https://github.com/cookiecutter/cookiecutter"">CookieCutter</a></li></ul>",0,"= 2019-10-24 October Jersey Meetup =

17:30 - Unit 13, Le Capelain House, Castle Quay [[https://www.google.com/maps/@49.1824762,-2.1155164,20z|Map]]

== Agenda ==

 * Welcome
 * Code Hinting
 * List Comprehension / Lambdas
 * Whats new in Python 3.8 
 * AOB

== Notes ==

 * Environhack
 * Maps
 * GMPlot
 * Machine learning 
   * Ng
   * Using AI to determine sentiment/reaction to content
 * Dave does Lambda & List-comprehension (with a left turn through generator Ville)
 * Type Hinting
 * Cookie Cutter

== Resources ==

 * [[https://github.com/dwedigital/cipug_listcomp_lambdas|Dave's Guide to List Comprehension & Lambdas]]
 * [[http://mypy-lang.org/|mypy - Optional Static Type Checking for Python]]
 * [[https://github.com/mahmoud/awesome-python-applications|Awesome Python Applications]]
 * [[http://www.dabeaz.com/generators/|Generator Tricks for Systems Programmers, v3.0]]
 * [[https://amzn.to/2JxMuBo|Classic Computer Science Problems in Python]]
 * [[https://github.com/cookiecutter/cookiecutter|CookieCutter]]
"
9,11,./pages/Guernsey/revisions,,,,,,,"= Guernsey =

Nothing here yet. 

If you're from Guernsey and want to take ownership of your side of the CIPug then please get in touch - rcwd@cipug.org
"
